date,cash,position_qty,position_avg_price,position_value,mark_price,total_equity,drawdown,margin_used,margin_available,excess_margin,maintenance_margin_required,initial_margin_required,leverage,daily_realized_pnl,daily_unrealized_pnl,lifetime_realized_pnl
2025-01-30,100000000.0,0,0.0,0.0,111.0,100000000.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,129887302.2805,-270200,110.889,-30262400.0,112.0,129587110.08049999,0.0,14981103.899999999,118995270.08049999,118995270.08049999,10591840.0,15131200.0,0.23352939949969473,0.0,-300192.2000000011,0.0
2025-02-03,129887302.2805,-270200,110.889,-30262400.0,112.0,129587110.08049999,0.0,14981103.899999999,118995270.08049999,118995270.08049999,10591840.0,15131200.0,0.23352939949969473,0.0,-300192.2000000011,0.0
2025-02-04,99549200.8869,0,0.0,0.0,117.0,99549200.8869,-0.23179704505286325,0.0,99549200.8869,99549200.8869,0.0,0.0,0.0,-330454.59999999974,0.0,-330454.59999999974
2025-02-05,129811786.00889999,-255200,118.881,-28837600.0,113.0,131312617.20889999,0.0,15169215.6,121219457.20889999,121219457.20889999,10093160.0,14418800.0,0.21961027518112305,0.0,1500831.2,-330454.59999999974
2025-02-06,129811786.00889999,-255200,118.881,-28582400.0,112.0,131567817.20889999,0.0,15169215.6,121563977.20889999,121563977.20889999,10003840.0,14291200.0,0.21724461655100352,0.0,1756031.2,-330454.59999999974
2025-02-07,101157887.13529998,0,0.0,0.0,110.0,101157887.13529998,-0.23113502008865816,0.0,101157887.13529998,101157887.13529998,0.0,0.0,0.0,1727448.8000000014,0.0,1396994.2000000016
2025-02-10,131389779.98029998,-275800,109.89,-28407400.0,103.0,133290041.98029998,0.0,15153831.0,123347451.98029998,123347451.98029998,9942590.0,14203700.0,0.21312469842419707,0.0,1900262.0000000002,1396994.2000000016
2025-02-11,131389779.98029998,-275800,109.89,-30889600.0,112.0,130807841.98029998,-0.01862254646425021,15153831.0,119996481.98029998,119996481.98029998,10811360.0,15444800.0,0.23614486358281225,0.0,-581937.9999999999,1396994.2000000016
2025-02-12,100422909.64589998,0,0.0,0.0,110.0,100422909.64589998,-0.24658355452583391,0.0,100422909.64589998,100422909.64589998,0.0,0.0,0.0,-612827.5999999983,0.0,784166.6000000032
2025-02-13,131254099.09439999,-273800,112.887,-32308400.0,118.0,129854159.69439998,-0.02577748671133151,15454230.3,118546219.69439998,118546219.69439998,11307940.0,16154200.0,0.2488052756726076,0.0,-1399939.4,784166.6000000032
2025-02-14,131254099.09439999,-273800,112.887,-33403600.0,122.0,128758959.69439998,-0.033994154541339916,15454230.3,117067699.69439998,117067699.69439998,11691260.0,16701800.0,0.2594273833780656,0.0,-2495139.4,784166.6000000032
2025-02-17,97766939.989,0,0.0,0.0,135.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,-2528542.999999996,0.0,-1744376.3999999925
