date,total_equity,gross_exposure,margin_used,maintenance_margin,available_equity,leverage,margin_status
2025-01-30,100000000.0,0.0,0.0,0.0,100000000.0,0.0,SAFE
2025-01-31,129587110.08049999,30262400.0,14981103.899999999,10591840.0,118995270.08049999,0.23352939949969473,SAFE
2025-02-03,129587110.08049999,30262400.0,14981103.899999999,10591840.0,118995270.08049999,0.23352939949969473,SAFE
2025-02-04,99549200.8869,0.0,0.0,0.0,99549200.8869,0.0,SAFE
2025-02-05,131312617.20889999,28837600.0,15169215.6,10093160.0,121219457.20889999,0.21961027518112305,SAFE
2025-02-06,131567817.20889999,28582400.0,15169215.6,10003840.0,121563977.20889999,0.21724461655100352,SAFE
2025-02-07,101157887.13529998,0.0,0.0,0.0,101157887.13529998,0.0,SAFE
2025-02-10,133290041.98029998,28407400.0,15153831.0,9942590.0,123347451.98029998,0.21312469842419707,SAFE
2025-02-11,130807841.98029998,30889600.0,15153831.0,10811360.0,119996481.98029998,0.23614486358281225,SAFE
2025-02-12,100422909.64589998,0.0,0.0,0.0,100422909.64589998,0.0,SAFE
2025-02-13,129854159.69439998,32308400.0,15454230.3,11307940.0,118546219.69439998,0.2488052756726076,SAFE
2025-02-14,128758959.69439998,33403600.0,15454230.3,11691260.0,117067699.69439998,0.2594273833780656,SAFE
2025-02-17,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-18,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-19,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-20,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-21,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-24,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-25,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-26,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-27,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-02-28,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-03-03,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-03-04,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-03-05,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-03-06,97766939.989,0.0,0.0,0.0,97766939.989,0.0,SAFE
2025-03-07,68569870.05645,29549000.0,14675510.85,10342150.0,58227720.056449994,0.430932711053322,SAFE
2025-03-10,68569870.05645,29549000.0,14675510.85,10342150.0,58227720.056449994,0.430932711053322,SAFE
2025-03-11,97817544.12895,0.0,0.0,0.0,97817544.12895,0.0,SAFE
2025-03-12,66991011.77695,28413000.0,14798783.999999998,9944550.0,57046461.77695,0.42413152520524,SAFE
