date,ticker,side,quantity,avg_entry_price,mark_price,unrealized_pnl,stop_price,take_profit,status
2025-01-30,DEWA.JK,FLAT,0,0.0,111.0,0.0,,,FLAT
2025-01-31,DEWA.JK,SHORT,270200,110.889,112.0,-300192.2000000011,,,OPEN
2025-02-03,DEWA.JK,SHORT,270200,110.889,112.0,-300192.2000000011,104.0,106.0,OPEN
2025-02-04,DEWA.JK,FLAT,0,0.0,117.0,0.0,,,FLAT
2025-02-05,DEWA.JK,SHORT,255200,118.881,113.0,1500831.2,,,OPEN
2025-02-06,DEWA.JK,SHORT,255200,118.881,112.0,1756031.2,104.0,106.0,OPEN
2025-02-07,DEWA.JK,FLAT,0,0.0,110.0,0.0,,,FLAT
2025-02-10,DEWA.JK,SHORT,275800,109.89,103.0,1900262.0000000002,,,OPEN
2025-02-11,DEWA.JK,SHORT,275800,109.89,112.0,-581937.9999999999,104.0,106.0,OPEN
2025-02-12,DEWA.JK,FLAT,0,0.0,110.0,0.0,,,FLAT
2025-02-13,DEWA.JK,SHORT,273800,112.887,118.0,-1399939.4,,,OPEN
2025-02-14,DEWA.JK,SHORT,273800,112.887,122.0,-2495139.4,128.0,102.0,OPEN
2025-02-17,DEWA.JK,FLAT,0,0.0,135.0,0.0,,,FLAT
2025-02-18,DEWA.JK,FLAT,0,0.0,144.0,0.0,,,FLAT
2025-02-19,DEWA.JK,FLAT,0,0.0,145.0,0.0,,,FLAT
2025-02-20,DEWA.JK,FLAT,0,0.0,145.0,0.0,,,FLAT
2025-02-21,DEWA.JK,FLAT,0,0.0,145.0,0.0,,,FLAT
2025-02-24,DEWA.JK,FLAT,0,0.0,140.0,0.0,,,FLAT
2025-02-25,DEWA.JK,FLAT,0,0.0,135.0,0.0,,,FLAT
2025-02-26,DEWA.JK,FLAT,0,0.0,140.0,0.0,,,FLAT
2025-02-27,DEWA.JK,FLAT,0,0.0,135.0,0.0,,,FLAT
2025-02-28,DEWA.JK,FLAT,0,0.0,124.0,0.0,,,FLAT
2025-03-03,DEWA.JK,FLAT,0,0.0,135.0,0.0,,,FLAT
2025-03-04,DEWA.JK,FLAT,0,0.0,127.0,0.0,,,FLAT
2025-03-05,DEWA.JK,FLAT,0,0.0,128.0,0.0,,,FLAT
2025-03-06,DEWA.JK,FLAT,0,0.0,129.0,0.0,,,FLAT
2025-03-07,DEWA.JK,LONG,227300,129.129,130.0,197978.3000000021,,,OPEN
2025-03-10,DEWA.JK,LONG,227300,129.129,130.0,197978.3000000021,124.0,110.0,OPEN
2025-03-11,DEWA.JK,FLAT,0,0.0,127.0,0.0,,,FLAT
2025-03-12,DEWA.JK,LONG,231000,128.128,123.0,-1184567.9999999967,,,OPEN
2025-03-13,DEWA.JK,LONG,231000,128.128,120.0,-1877567.9999999967,124.0,110.0,OPEN
2025-03-14,DEWA.JK,FLAT,0,0.0,118.0,0.0,,,FLAT
2025-03-17,DEWA.JK,LONG,243500,118.11799999999998,122.0,945267.0000000047,,,OPEN
2025-03-18,DEWA.JK,LONG,243500,118.11799999999998,109.0,-2220232.9999999953,110.0,124.0,OPEN
2025-03-19,DEWA.JK,FLAT,0,0.0,108.0,0.0,,,FLAT
2025-03-20,DEWA.JK,LONG,259500,109.109,106.0,-806785.4999999986,,,OPEN
2025-03-21,DEWA.JK,LONG,259500,109.109,104.0,-1325785.4999999986,124.0,110.0,OPEN
2025-03-24,DEWA.JK,FLAT,0,0.0,97.0,0.0,,,FLAT
2025-03-25,DEWA.JK,LONG,284400,97.097,101.0,1110013.2000000016,,,OPEN
2025-03-26,DEWA.JK,LONG,284400,97.097,103.0,1678813.2000000016,124.0,110.0,OPEN
2025-03-27,DEWA.JK,FLAT,0,0.0,106.0,0.0,,,FLAT
2025-04-08,DEWA.JK,FLAT,0,0.0,91.0,0.0,,,FLAT
2025-04-09,DEWA.JK,FLAT,0,0.0,86.0,0.0,,,FLAT
2025-04-10,DEWA.JK,FLAT,0,0.0,93.0,0.0,,,FLAT
2025-04-11,DEWA.JK,SHORT,301600,92.907,99.0,-1837648.800000001,,,OPEN
2025-04-14,DEWA.JK,SHORT,331700,93.63223123304189,110.0,-5429188.900000004,105.0,75.0,OPEN
2025-04-15,DEWA.JK,SHORT,33100,111.888,107.0,161792.80000000016,,,OPEN
2025-04-16,DEWA.JK,SHORT,36400,111.61629395604398,109.0,95233.1000000007,105.0,75.0,OPEN
2025-04-17,DEWA.JK,SHORT,3600,107.892,108.0,-388.80000000001473,,,OPEN
2025-04-21,DEWA.JK,SHORT,3600,107.892,110.0,-7588.800000000015,120.0,99.0,OPEN
2025-04-22,DEWA.JK,FLAT,0,0.0,117.0,0.0,,,FLAT
2025-04-23,DEWA.JK,LONG,225100,118.11799999999998,115.0,-701861.7999999956,,,OPEN
2025-04-24,DEWA.JK,LONG,225100,118.11799999999998,112.0,-1377161.7999999956,99.0,120.0,OPEN
2025-04-25,DEWA.JK,FLAT,0,0.0,114.0,0.0,,,FLAT
2025-04-28,DEWA.JK,SHORT,227100,113.886,114.0,-25889.40000000098,,,OPEN
2025-04-29,DEWA.JK,SHORT,227100,113.886,129.0,-3432389.400000001,113.0,31.600285714285704,OPEN
2025-04-30,DEWA.JK,FLAT,0,0.0,131.0,0.0,,,FLAT
2025-05-02,DEWA.JK,SHORT,197800,137.862,138.0,-27296.400000001035,,,OPEN
